setting,forget_token_overlap_with_retain_basis
coupled,0.698369026184082
coupled,0.7802339792251587
coupled,0.6181426048278809
coupled,0.6980516910552979
coupled,0.7490613460540771
coupled,0.737197995185852
coupled,0.7738326787948608
coupled,0.6802651882171631
coupled,0.7600933313369751
coupled,0.7082271575927734
coupled,0.7402790784835815
coupled,0.664686381816864
coupled,0.7596888542175293
coupled,0.6730754375457764
coupled,0.7142584919929504
coupled,0.6487475633621216
coupled,0.671467125415802
coupled,0.6735705137252808
coupled,0.6467880010604858
coupled,0.7247058153152466
coupled,0.7294784188270569
coupled,0.6942216753959656
coupled,0.6843516826629639
coupled,0.7118769884109497
coupled,0.7658880949020386
coupled,0.7461326122283936
coupled,0.6504653096199036
coupled,0.675724983215332
coupled,0.6992566585540771
coupled,0.7275606393814087
coupled,0.7038910388946533
coupled,0.7026816606521606
coupled,0.7582955360412598
coupled,0.7491133809089661
coupled,0.663726806640625
coupled,0.6760512590408325
coupled,0.6726950407028198
coupled,0.6114004850387573
coupled,0.6774758100509644
coupled,0.7400679588317871
coupled,0.6923384666442871
coupled,0.6948958039283752
coupled,0.7542123794555664
coupled,0.7609336972236633
coupled,0.7411025762557983
coupled,0.7381117939949036
coupled,0.7764866948127747
coupled,0.6629519462585449
coupled,0.7458174228668213
coupled,0.734169065952301
coupled,0.769813060760498
coupled,0.6179285049438477
coupled,0.6911194324493408
coupled,0.709064245223999
coupled,0.723432719707489
coupled,0.7178657650947571
coupled,0.7834916114807129
coupled,0.6474494934082031
coupled,0.7720038294792175
coupled,0.7101832628250122
coupled,0.732499361038208
coupled,0.7457389831542969
coupled,0.6673978567123413
coupled,0.7140694856643677
coupled,0.7550598382949829
coupled,0.7222230434417725
coupled,0.7076635360717773
coupled,0.7341978549957275
coupled,0.6828020215034485
coupled,0.7136766314506531
coupled,0.691609799861908
coupled,0.6984244585037231
coupled,0.8051304221153259
coupled,0.6417080760002136
coupled,0.6918997764587402
coupled,0.7017241716384888
coupled,0.7465142607688904
coupled,0.6905536651611328
coupled,0.7475393414497375
coupled,0.7466679811477661
coupled,0.7444801926612854
coupled,0.7111626863479614
coupled,0.7138925790786743
coupled,0.7090312838554382
coupled,0.7549154758453369
coupled,0.7917541265487671
coupled,0.6361590027809143
coupled,0.659084141254425
coupled,0.7372365593910217
coupled,0.6737428903579712
coupled,0.6230969429016113
coupled,0.7243052124977112
coupled,0.759910523891449
coupled,0.6933683156967163
coupled,0.6712380647659302
coupled,0.7078045010566711
coupled,0.6874021887779236
coupled,0.7353169918060303
coupled,0.622117817401886
coupled,0.5971916317939758
coupled,0.6984492540359497
coupled,0.7479522228240967
coupled,0.7199462056159973
coupled,0.7424502372741699
coupled,0.7393825054168701
coupled,0.7444040775299072
coupled,0.6889258027076721
coupled,0.6816992163658142
coupled,0.697369396686554
coupled,0.7768784165382385
coupled,0.7578886151313782
coupled,0.7329591512680054
coupled,0.6947861909866333
coupled,0.6318349838256836
coupled,0.7155065536499023
coupled,0.7139452695846558
coupled,0.7814281582832336
coupled,0.6674389243125916
coupled,0.6824420094490051
coupled,0.7218424081802368
coupled,0.6554039120674133
coupled,0.725579023361206
coupled,0.703527569770813
coupled,0.7426544427871704
coupled,0.7334021925926208
coupled,0.6008279323577881
coupled,0.6976934671401978
coupled,0.7451871633529663
coupled,0.6848726868629456
coupled,0.7363380789756775
coupled,0.7580385208129883
coupled,0.6795151233673096
coupled,0.6864581108093262
coupled,0.7270885705947876
coupled,0.6746906638145447
coupled,0.6497183442115784
coupled,0.7063042521476746
coupled,0.7292113304138184
coupled,0.7453781962394714
coupled,0.6810562610626221
coupled,0.6424779295921326
coupled,0.6513835787773132
coupled,0.7721549868583679
coupled,0.6632770895957947
coupled,0.7050013542175293
coupled,0.7266559600830078
coupled,0.7555385231971741
coupled,0.7420390844345093
coupled,0.6596271395683289
coupled,0.7034910917282104
coupled,0.7162694931030273
coupled,0.705873429775238
coupled,0.7189534306526184
coupled,0.7345883250236511
coupled,0.7309072613716125
coupled,0.6700405478477478
coupled,0.7807050347328186
coupled,0.7178535461425781
coupled,0.7145195603370667
coupled,0.6580207347869873
coupled,0.7130625247955322
coupled,0.7128929495811462
coupled,0.7409170269966125
coupled,0.7762005925178528
coupled,0.7366846799850464
coupled,0.6177054643630981
coupled,0.7410563230514526
coupled,0.6456636786460876
coupled,0.7429996728897095
coupled,0.7145746350288391
coupled,0.6583656668663025
coupled,0.6854897737503052
coupled,0.7681128978729248
coupled,0.7338128089904785
coupled,0.7069715261459351
coupled,0.6575395464897156
coupled,0.771239161491394
coupled,0.7206964492797852
coupled,0.689735472202301
coupled,0.7545857429504395
coupled,0.6141908764839172
coupled,0.779123842716217
coupled,0.756717324256897
coupled,0.7816044092178345
coupled,0.7282667756080627
coupled,0.7572135329246521
coupled,0.7351129651069641
coupled,0.7179076075553894
coupled,0.7168375849723816
coupled,0.7402505874633789
coupled,0.7271389961242676
coupled,0.6515367031097412
coupled,0.7574340105056763
coupled,0.7501884698867798
