dataset,model,method,benchmark,accuracy_pct
MIMIC-Unlearn,LLaMA-3.1-8B,RMU,PubMedQA,71.60
MIMIC-Unlearn,LLaMA-3.1-8B,WGA,PubMedQA,61.80
MIMIC-Unlearn,LLaMA-3.1-8B,PDU,PubMedQA,55.20
MIMIC-Unlearn,LLaMA-3.1-8B,MEDCU,PubMedQA,71.40
MIMIC-Unlearn,Qwen2.5-3B,GD,MedQA,48.39
MIMIC-Unlearn,Qwen2.5-3B,NPO,MedQA,49.33
MIMIC-Unlearn,Qwen2.5-3B,DPO,MedQA,49.88
MIMIC-Unlearn,Qwen2.5-3B,RMU,MedQA,48.63
MIMIC-Unlearn,Qwen2.5-3B,WGA,MedQA,49.33
MIMIC-Unlearn,Qwen2.5-3B,PDU,MedQA,42.03
MIMIC-Unlearn,Qwen2.5-3B,MEDCU,MedQA,50.43
MIMIC-Unlearn,Qwen2.5-3B,GD,MedMCQA,48.77
MIMIC-Unlearn,Qwen2.5-3B,NPO,MedMCQA,50.18
MIMIC-Unlearn,Qwen2.5-3B,DPO,MedMCQA,50.66
MIMIC-Unlearn,Qwen2.5-3B,RMU,MedMCQA,47.33
MIMIC-Unlearn,Qwen2.5-3B,WGA,MedMCQA,50.44
MIMIC-Unlearn,Qwen2.5-3B,PDU,MedMCQA,44.27
MIMIC-Unlearn,Qwen2.5-3B,MEDCU,MedMCQA,50.32
MIMIC-Unlearn,Qwen2.5-3B,GD,PubMedQA,70.60
MIMIC-Unlearn,Qwen2.5-3B,NPO,PubMedQA,70.80
MIMIC-Unlearn,Qwen2.5-3B,DPO,PubMedQA,71.00
MIMIC-Unlearn,Qwen2.5-3B,RMU,PubMedQA,69.00
MIMIC-Unlearn,Qwen2.5-3B,WGA,PubMedQA,71.00
MIMIC-Unlearn,Qwen2.5-3B,PDU,PubMedQA,69.40
MIMIC-Unlearn,Qwen2.5-3B,MEDCU,PubMedQA,71.00
MIMIC-Unlearn,Qwen2.5-7B,GD,MedQA,57.34
MIMIC-Unlearn,Qwen2.5-7B,NPO,MedQA,57.03
MIMIC-Unlearn,Qwen2.5-7B,DPO,MedQA,59.78
MIMIC-Unlearn,Qwen2.5-7B,RMU,MedQA,54.67
MIMIC-Unlearn,Qwen2.5-7B,WGA,MedQA,58.29
MIMIC-Unlearn,Qwen2.5-7B,PDU,MedQA,54.28
MIMIC-Unlearn,Qwen2.5-7B,MEDCU,MedQA,59.07
MIMIC-Unlearn,Qwen2.5-7B,GD,MedMCQA,54.96
MIMIC-Unlearn,Qwen2.5-7B,NPO,MedMCQA,54.60
MIMIC-Unlearn,Qwen2.5-7B,DPO,MedMCQA,55.46
MIMIC-Unlearn,Qwen2.5-7B,RMU,MedMCQA,52.74
MIMIC-Unlearn,Qwen2.5-7B,WGA,MedMCQA,55.80
MIMIC-Unlearn,Qwen2.5-7B,PDU,MedMCQA,51.28
MIMIC-Unlearn,Qwen2.5-7B,MEDCU,MedMCQA,56.37
MIMIC-Unlearn,Qwen2.5-7B,GD,PubMedQA,73.80
MIMIC-Unlearn,Qwen2.5-7B,NPO,PubMedQA,73.80
MIMIC-Unlearn,Qwen2.5-7B,DPO,PubMedQA,75.80
MIMIC-Unlearn,Qwen2.5-7B,RMU,PubMedQA,73.60
MIMIC-Unlearn,Qwen2.5-7B,WGA,PubMedQA,74.60
MIMIC-Unlearn,Qwen2.5-7B,PDU,PubMedQA,73.60
MIMIC-Unlearn,Qwen2.5-7B,MEDCU,PubMedQA,75.20
